 e m
 0.18 34.27
 0.16 33.50
 0.17 33.66
 0.20 34.74
 0.20 34.95
 0.20 34.95
 0.22 35.89
 0.22 35.89
 0.23 36.45
 0.20 34.95
 0.17 34.12
 0.17 33.91
 0.16 33.52
 0.15 32.96
 0.16 33.36
 0.15 32.80
 0.15 32.80
 0.13 31.86
 0.12 30.91
 0.12 31.30
 0.12 31.30
 0.12 31.30
 0.12 31.30
 0.12 31.30
 0.12 31.30
 0.13 32.00
 0.13 31.61
 0.12 31.22
 0.12 31.22
 0.13 31.52
 0.30 34.95
 0.31 35.65
 0.31 35.90
 0.36 37.90
 0.41 39.90
 0.42 40.66
 0.43 40.91
 0.27 37.88
 0.26 37.18
 0.26 37.18
 0.22 35.87
 0.17 34.27
 0.17 34.05
 0.16 33.50
 0.15 33.11
 0.17 34.05
 0.16 33.81
 0.16 33.81
 0.18 34.57
 0.18 34.57
 0.19 35.33
 0.21 36.49
 0.24 37.32
 0.25 37.96
 0.25 37.65
 0.24 37.44
 0.25 37.65
 0.25 37.65
 0.24 37.44
 0.21 36.37
 0.19 35.42
 0.19 35.03
 0.32 37.31
 0.32 37.31
 0.32 37.31
 0.32 37.52
 0.31 36.83
 0.31 36.43
 0.31 36.43
 0.16 33.20
 0.14 32.05
 0.12 30.89
 0.10 29.73
 0.14 31.38
 0.17 33.02
 0.19 34.18
 0.22 35.52
 0.24 36.67
 0.24 37.07
 0.26 38.01
 0.24 37.31
 0.22 36.83
 0.23 37.01
 0.20 35.67
 0.20 35.46
 0.24 36.96
 0.28 38.21
 0.42 40.58
 0.46 41.71
 0.48 42.14
 0.52 44.03
 0.56 45.09
 0.61 45.98
 0.59 45.55
 0.49 44.34
 0.46 43.56
 0.50 44.30
 0.50 44.30
 0.47 43.46
 0.41 42.45
 0.39 41.83
 0.36 41.23
 0.37 41.50
 0.33 40.49
 0.30 39.75
 0.32 40.24
 0.31 39.96
 0.30 39.75
 0.29 39.20
 0.40 40.78
 0.41 41.05
 0.43 41.54
 0.43 41.67
 0.42 41.33
 0.43 41.54
 0.44 41.93
 0.30 39.73
 0.27 38.35
 0.23 36.71
 0.21 36.09
 0.21 36.09
 0.22 36.27
 0.22 36.43
 0.21 35.98
 0.21 35.98
 0.23 36.92
 0.22 36.71
 0.22 36.71
 0.20 35.37
 0.20 35.52
 0.20 35.52
 0.20 35.12
 0.18 34.18
 0.16 32.68
 0.14 31.52
 0.14 31.52
 0.11 29.88
 0.10 29.18
 0.10 29.18
 0.11 30.13
 0.13 31.63
 0.13 31.63
 0.14 32.32
 0.14 32.32
 0.16 33.27
 0.16 33.66
 0.15 33.11
 0.14 32.16
 0.15 32.86
 0.14 32.16
 0.15 32.86
 0.13 31.91
 0.13 31.52
 0.12 31.13
 0.12 31.13
 0.13 31.59
 0.13 31.59
 0.12 30.89
 0.14 31.84
 0.14 32.23
 0.14 32.23
 0.14 32.23
 0.12 31.07
 0.13 31.47
 0.14 32.41
 0.13 31.47
 0.13 31.77
 0.15 32.93
 0.17 33.87
 0.21 35.76
 0.24 37.02
 0.25 37.23
 0.36 40.17
 0.36 40.42
 0.37 40.60
 0.36 40.05
 0.34 39.32
 0.32 38.62
 0.33 38.96
 0.25 37.66
 0.38 39.98
 0.36 39.34
 0.36 38.95
 0.34 37.79
 0.33 37.24
 0.30 35.74
 0.27 34.49
 0.12 31.22
 0.12 31.22
 0.12 31.22
 0.12 31.22
 0.12 30.82
 0.12 31.22
 0.14 31.98
 0.14 31.98
 0.15 32.44
 0.15 32.44
 0.15 32.44
 0.15 32.44
 0.15 32.44
 0.13 31.28
 0.13 31.28
 0.11 30.13
 0.11 30.13
 0.16 32.13
 0.17 33.07
 0.18 33.63
 0.18 33.63
 0.18 33.63
 0.20 34.57
 0.21 35.27
 0.17 34.22
 0.17 33.97
 0.17 34.18
 0.20 35.52
 0.23 37.16
 0.23 37.16
 0.23 37.16
 0.23 36.91
 0.22 36.61
 0.20 35.45
 0.18 34.11
 0.14 32.47
 0.15 32.68
 0.15 32.68
 0.15 32.68
 0.16 33.44
 0.19 34.78
 0.20 35.73
 0.26 37.83
 0.25 37.62
 0.28 38.56
 0.29 39.21
 0.29 39.00
 0.28 38.81
 0.28 38.56
 0.23 37.16
 0.24 37.55
 0.24 37.55
 0.27 38.21
 0.27 38.42
 0.27 38.42
 0.30 39.37
 0.31 40.01
 0.32 40.32
 0.29 38.67
 0.27 38.32
 0.25 37.16
 0.23 36.00
 0.20 34.36
 0.17 33.02
 0.20 33.57
 0.20 33.57
 0.16 31.93
 0.17 32.63
 0.18 33.02
 0.18 33.41
 0.20 34.36
 0.17 33.66
 0.18 34.36
 0.18 34.75
 0.19 35.00
 0.20 35.76
 0.21 36.32
 0.24 37.26
 0.26 37.66
 0.27 38.30
 0.35 40.43
 0.46 42.62
 0.48 43.11
 0.50 43.81
 0.48 43.25
 0.48 43.36
 0.52 44.22
 0.47 43.20
 0.35 41.00
 0.35 40.86
 0.34 40.55
 0.35 40.86
 0.38 41.51
 0.34 40.26
 0.34 40.10
 0.35 40.50
 0.34 40.15
 0.34 40.15
 0.31 39.21
 0.24 37.50
 0.23 37.25
 0.23 37.07
 0.22 36.88
 0.22 36.88
 0.20 35.94
 0.20 35.94
 0.22 36.49
 0.21 35.79
 0.20 35.33
 0.19 34.87
 0.18 34.66
 0.19 35.22
 0.20 35.47
 0.18 34.91
 0.20 35.86
 0.20 35.86
 0.19 35.16
 0.17 34.22
 0.17 34.22
 0.17 33.97
 0.18 34.52
 0.19 34.73
 0.32 37.22
 0.33 37.92
 0.33 38.31
 0.32 37.36
 0.32 37.36
 0.29 35.87
 0.27 34.71
 0.14 32.47
 0.13 31.77
 0.14 32.07
 0.14 32.07
 0.13 31.77
 0.13 31.77
 0.29 35.12
 0.28 34.18
 0.28 34.18
 0.27 33.48
 0.27 33.48
 0.26 33.09
 0.27 33.78
 0.12 31.13
 0.15 32.47
 0.15 32.86
 0.17 34.02
 0.19 35.17
 0.21 36.12
 0.22 36.58
 0.21 36.27
 0.20 35.88
 0.21 36.43
 0.36 38.67
 0.35 38.21
 0.35 38.42
 0.36 38.76
 0.36 39.07
 0.37 39.28
 0.38 39.83
 0.26 38.21
 0.30 39.52
 0.34 40.46
 0.36 40.97
 0.40 42.37
 0.45 43.58
 0.47 44.08
 0.43 42.31
 0.39 41.26
 0.38 40.93
 0.41 41.51
 0.39 41.06
 0.35 39.84
 0.30 37.84
 0.30 38.24
 0.30 37.99
 0.29 37.71
 0.22 36.28
 0.22 36.14
 0.21 35.68
 0.21 36.07
 0.21 35.68
 0.22 36.32
 0.22 36.32
 0.22 36.11
 0.20 35.55
 0.22 36.20
 0.25 37.58
 0.33 40.02
 0.36 40.79
 0.34 40.23
 0.35 40.44
 0.35 40.44
 0.33 39.50
 0.29 37.72
 0.23 36.22
 0.19 35.28
 0.20 35.49
 0.19 35.28
 0.19 35.28
 0.21 36.22
 0.23 37.17
 0.31 39.00
 0.30 38.24
 0.28 37.48
 0.28 37.23
 0.27 36.67
 0.32 37.85
 0.32 37.85
 0.26 36.72
 0.28 37.82
 0.29 38.38
 0.29 38.38
 0.33 39.88
 0.29 39.13
 0.30 39.52
 0.29 39.22
 0.27 38.42
 0.28 38.63
 0.28 38.63
 0.25 37.89
 0.21 36.12
 0.19 34.78
 0.18 34.60
 0.19 35.06
 0.21 35.67
 0.22 36.13
 0.23 36.32
 0.25 37.65
 0.26 38.05
 0.26 38.23
 0.25 37.47
 0.21 35.69
 0.19 34.93
 0.17 33.59
 0.16 33.41
 0.16 33.01
 0.15 32.83
 0.15 32.44
 0.15 32.83
 0.15 32.44
 0.16 33.39
 0.16 33.18
 0.16 33.18
 0.15 32.72
 0.16 33.66
 0.18 34.43
 0.19 35.12
 0.18 34.87
 0.18 34.63
 0.18 35.02
 0.19 35.48
 0.20 35.69
 0.19 35.23
 0.19 35.23
 0.19 35.48
 0.20 35.94
 0.21 36.24
 0.19 35.08
 0.18 34.63
 0.18 34.87
 0.18 34.87
 0.17 34.32
 0.15 33.16
 0.15 32.86
 0.15 32.86
 0.14 32.16
 0.14 32.16
 0.13 31.47
 0.13 31.47
 0.16 32.96
 0.17 33.73
 0.19 34.89
 0.21 36.04
 0.22 36.43
 0.26 38.08
 0.29 39.33
 0.28 39.17
 0.28 39.17
 0.28 39.17
 0.30 39.65
 0.28 39.01
 0.28 38.87
 0.26 38.38
 0.27 38.54
 0.27 38.73
 0.27 38.51
 0.25 38.03
 0.26 38.28
 0.23 37.17
 0.22 36.41
 0.19 35.30
 0.19 35.12
 0.19 35.33
 0.21 35.81
 0.24 36.76
 0.26 37.71
 0.26 38.01
 0.28 38.96
 0.31 39.69
 0.31 39.88
 0.31 39.73
 0.31 39.73
 0.30 39.55
 0.31 40.01
 0.31 39.83
 0.27 38.33
 0.25 37.38
 0.24 37.22
 0.22 36.48
 0.22 36.48
 0.26 37.61
 0.30 38.56
 0.33 39.94
 0.39 41.83
 0.42 42.69
 0.45 43.43
 0.45 43.61
 0.41 42.66
 0.39 42.20
 0.38 41.93
 0.34 40.80
 0.31 39.94
 0.29 39.39
 0.29 39.39
 0.28 39.21
 0.28 39.06
 0.27 38.72
 0.28 39.06
 0.28 39.22
 0.28 39.22
 0.27 38.83
 0.26 38.37
 0.25 37.82
 0.24 37.61
 0.21 36.11
 0.19 35.00
 0.18 34.61
 0.17 34.36
 0.17 34.05
 0.16 33.50
 0.14 32.56
 0.15 33.25
 0.15 32.86
 0.17 33.56
 0.19 34.50
 0.21 35.45
 0.22 36.00
 0.24 37.16
 0.25 37.41
 0.28 38.91
 0.31 39.63
 0.31 39.63
 0.34 40.40
 0.35 40.61
 0.37 41.34
 0.36 40.40
 0.46 42.08
 0.41 40.66
 0.43 41.22
 0.41 40.76
 0.40 40.30
 0.37 39.10
 0.38 40.05
 0.30 38.96
 0.32 39.66
 0.31 39.47
 0.31 39.47
 0.32 39.71
 0.35 40.91
 0.36 41.30
 0.34 40.84
 0.35 40.97
 0.32 40.13
 0.32 40.26
 0.32 40.26
 0.31 40.01
 0.31 39.83
 0.28 38.88
 0.26 38.05
 0.27 38.54
 0.26 38.11
 0.27 38.50
 0.24 37.55
 0.23 37.09
 0.23 37.09
 0.23 37.09
 0.21 36.40
 0.20 36.00
 0.19 35.61
 0.20 36.07
 0.20 35.76
 0.20 35.76
 0.19 35.52
 0.20 35.73
 0.20 35.94
 0.21 36.33
 0.21 36.33
 0.23 37.09
 0.24 37.55
 0.24 37.55
 0.23 37.09
 0.22 36.88
 0.21 36.49
 0.20 35.73
 0.19 35.27
 0.18 35.06
 0.20 35.86
 0.21 36.32
 0.20 35.76
 0.20 35.52
